“year”,“javascript_cookies_total”,“is_session”,“track_cookie_no”,,“fingerprinting”,“cookie_per_site”,“fingerprinting_per_site”,“distinct_site_urls”,javascript_cookies_total
2015,,,,,,,,,
2016,,,,,,,,11947,
2017,,,,,,,,11948,
2018,working,,,,,0,0,1000001,26105977
2019,,,,,,0,0,11950,
2022,487459,1939240,,,133,40.8052067637703,0.0111334337853675,11946,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,2017,2018,2019,2022,2022,
,distinct_urls,,,,1000000,1000000,1000,,
,Total rows,http_requests,,,99436357,97871532,91638,,
,Total rows,http_responses,,,98019377,95652778,87095,,
,Total rows,javascript,,,217233478,239947156,378577,,
,Total rows,javascript_cookies,,,26105977,31288610,36983,9749180,
,Total rows,site_visits,,,1000001,1000001,1000,,
,Total rows,crawl_history,,,1000001,1000001,3795,,
,Total rows,crawl,,,3000,3000,50,,
,Total rows,task,,,200,200,1,,
,Total rows,profile_cookies,,,0,0,,,
,Total rows,flash_cookies,,,0,0,,,
,Total rows,localStorage,,,0,,,,
,crawl_history Total,GET,,,1000001,1000001,902,,
,crawl_history Fails,GET,,,87649,165261,9,,
,crawl_history Timeouts,GET,,,27139,12521,1000,,
,crawl_sucessful,GET,,,912352,834740,893,1000,
,,,,,,,,,
,javascript_cookies/site,,,,28.6139308074077,37.4830605937178,41.4143337066069,9749.18,
,is_session,,,,,,,1939240,
,fingerprint canvas,,,,,,,0,
,fingerprint font,,,,,1.44739601537924,,133,
,sites with fingerprinting,,,,,,,487459,
,javascript_cookies/site,,,,#NAME?,,,,
